"provname","year","biweek","time","cases","births","pop","precip_mm","temp_C"
"Prey Veng",2009,6,2009.19230769231,5,971.787122304415,984964.747890931,32.331842840838,29.7602151928572
"Prey Veng",2009,7,2009.23076923077,5,972.064309670075,985536.497428428,84.8847532418,29.2061919357143
"Prey Veng",2009,8,2009.26923076923,6,972.341497035735,986108.246965925,40.3247,29.8276551285715
"Prey Veng",2009,9,2009.30769230769,26,972.618684401394,986679.996503422,129.3822,28.6133980714286
"Prey Veng",2009,10,2009.34615384615,29,972.895871767054,987251.746040919,102.7996,28.5613904785715
"Prey Veng",2009,11,2009.38461538462,28,973.14214237265,987823.495578416,110.0647,28.3220454714286
"Prey Veng",2009,12,2009.42307692308,23,973.308029402078,988395.245115913,44.9446,28.8226774357143
"Prey Veng",2009,13,2009.46153846154,42,973.473916431506,988966.99465341,71.5726,28.5567821857143
"Prey Veng",2009,14,2009.5,49,973.639803460934,989538.744190907,81.791,28.3577894714286
"Prey Veng",2009,15,2009.53846153846,43,973.805690490362,990110.493728404,91.9998,27.61669135
"Prey Veng",2009,16,2009.57692307692,35,973.97157751979,990682.243265901,57.6273,28.6912539571429
"Prey Veng",2009,17,2009.61538461538,45,974.137464549218,991253.992803398,104.6734,28.7645059428572
"Prey Veng",2009,18,2009.65384615385,49,974.303351578647,991825.742340895,217.5699,26.8144778
"Prey Veng",2009,19,2009.69230769231,30,974.469238608075,992397.491878391,92.7725,28.1111591
"Prey Veng",2009,20,2009.73076923077,19,974.635125637503,992969.241415888,111.2692,27.5819638285715
"Prey Veng",2009,21,2009.76923076923,10,974.801012666931,993540.990953385,104.5697,27.3963139714286
"Prey Veng",2009,22,2009.80769230769,15,974.966899696359,994112.740490882,72.1883880643,27.6019338428572
"Prey Veng",2009,23,2009.84615384615,15,975.132786725787,994684.490028379,20.368,28.5380004
"Prey Veng",2009,24,2009.88461538462,11,975.298673755215,995256.239565876,0.43906947134,27.4190876642857
"Prey Veng",2009,25,2009.92307692308,6,975.464560784643,995827.989103373,5.3581534983593,27.3554154857143
"Prey Veng",2009,26,2009.96153846154,6,975.630447814072,996399.73864087,1.3531203329031,28.083583
"Prey Veng",2010,1,2010,4,975.7963348435,996981.621679803,1.100403313919,28.3911124785715
